search_criteria,job_title,company_name,experience,salary,location,experience_description,skills_required,days_posted
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role You will work as part of the ETI-EDM( Enterprise database management). E...,"Automation,Linux,Networking,Production support,Solaris,Database design,Consulting,Information technology",30+ Days Ago
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Senior Oracle DBA(DBA 4) in EDM environment will be supporting the datab...,"Automation,Networking,Disaster recovery,Oracle DBA,Troubleshooting,Information technology,Distribution system,infrastructure services",30+ Days Ago
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role You will work as part of the ETI-EDM( Enterprise database management). E...,"Automation,Linux,Networking,Production support,Solaris,Database design,Consulting,Information technology",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,8-13 Yrs,Not disclosed,Hyderabad," Responsibilities: 8+ years of overall experience in IT industry Guide, coach and motiva...","Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",10 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,6-11 Yrs,Not disclosed,Hyderabad," Responsibilities 6+ years of overall experience in IT industry Guide, coach and motivat...","Computer science,Automation,Conflict resolution,agile project management,Retail banking,Scrum,J2Ee,Team Leader",10 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,8-13 Yrs,Not disclosed,Hyderabad, Job description About the Role Team member will be working on new scrum team within Dig...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",11 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,6-11 Yrs,Not disclosed,Hyderabad, About the Role Duties will include working with stakeholders to gain an understanding o...,"Unix,Business services,Core Java,Version control,GIT,Production support,Diagnostics,Application development",12 Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad," About the Role Senior Java Engineer with hands on development , good Design skills and ...","Business services,Application design,Interpersonal skills,Banking,Design development,Mentor,Technology solutions,Continuous improvement",1 Day Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,6-8 Yrs,Not disclosed,Hyderabad, About the Role Need to play Senior Developer role that expected to perform front end an...,"Hibernate,Linux,Coding,Project management,Web development,Javascript,JSON,Oracle",1 Day Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad, Description: Branch/ATM Technology team part of Wells Fargo Enterprise Information tech...,"Performance tuning,Linux,Database design,PLSQL,MongoDB,Oracle,Information technology,SDLC",2 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad, About Role: Team member will be working on Application Development work in WIMT Enginee...,"Object oriented design,Backend,Simulation,Coding,Debugging,Agile,Application development,JSON",2 Days Ago
Information Technology,Apps System Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,6-8 Yrs,Not disclosed,Hyderabad, About the Role You will work to Operational Applications team in Enterprise Contact Cen...,"Linux,IVR,MIS,Project planning,Troubleshooting,cisco,Operations,Information technology",4 Days Ago
Information Technology,IT Engineer,Qualcomm india pvt ltd.,4-9 Yrs,Not disclosed,Hyderabad, Responsibilities : Your responsibilities will be focused around the daily operations an...,"Unix,operational support,Linux,Staffing,Solaris,Active directory,Perl,Windows",PREMIUM
Information Technology,Network Engineer,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,Hyderabad, Department Overview The Technology Infrastructure (TI) team within the Information Tech...,"Networking,WAN,LAN,Visio,CCNA,cisco,Information technology,Distribution system",PREMIUM
Information Technology,Network Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,Hyderabad, About Role Team member will be part of network engineering team Responsibilities Design...,"Networking,WAN,LAN,Visio,CCNA,cisco,Information technology,Distribution system",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,7-12 Yrs,Not disclosed,Hyderabad, About the Role Our Enterprise ETL Services team setting up Talend based ETL platform an...,"Computer science,Linux,Networking,XML,Shell scripting,Debugging,JSON,Troubleshooting",PREMIUM
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,Hyderabad," Responsibilities Define, Design, Develop, Review solutions to meet the business and str...","Unix,Automation,Front end,Networking,XML,Web development,HTTP,Information technology",PREMIUM
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,8-12 Yrs,Not disclosed,Hyderabad, About the Role Need to play Senior Developer role that expected to perform front end an...,"Hibernate,Linux,Coding,Project management,Web development,Javascript,JSON,Oracle",PREMIUM
Information Technology,Engineering Expert - Backup,Novartis Healthcare Pvt. Ltd.,6-10 Yrs,Not disclosed,Hyderabad," Job Description Your responsibilities include, but are not limited to: Responsible for ...","Computer science,Performance tuning,Networking,Data management,NetBackup,Agile methodology,Information technology,Virtualization",PREMIUM
Information Technology,Engineering Expert - Backup,Novartis Healthcare Pvt. Ltd.,6-10 Yrs,Not disclosed,Hyderabad," Job Description Your responsibilities include, but are not limited to: Responsible for ...","Computer science,Performance tuning,Networking,Data management,NetBackup,Agile methodology,Information technology,Virtualization",PREMIUM
Information Technology,Fresher - Informatica Developer,Achala IT Solutions,0-2 Yrs,Not disclosed,Hyderabad, JOB DESCRIPTION Primary Responsibilities To take part in software and architectural dev...,"IT Skills,Java,Oracle,IT services,Computer science,Automobile,Oracle SQL,Architecture",10 Days Ago
Information Technology,Fresher - SAP ABAP Developer,Achala IT Solutions,0-2 Yrs,Not disclosed,Hyderabad, Primary Responsibilities : The ideal candidate should be able to deliver strong value f...,"IT Skills,Java,SAP,SAP ABAP,IT services,Computer science,Data dictionary,Dialog programming",1 Day Ago
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-8 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Expert technical knowledge and skills of an Aspect UIP v7.X dialer Admin...,"Computer science,Outbound,Telecom,MIS,Active directory,Troubleshooting,microsoft,Information technology",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This position will manage a team of 30 Middleware Resolutions Services e...,"Automation,Change management,Production support,Agile,Incident management,Middleware,Information technology,Release management",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,15-18 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a technical hands-on management position primarily responsible f...,"Business services,Simulation,Wealth management,Coding,Agile,Workflow,Application development,Oracle",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-8 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role You will work as part of the DevOps Team and will interact closely with ...,"Unix,Business services,Linux,Wholesale banking,Perl,Troubleshooting,SCM,Information technology",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a frontline management position primarily responsible for the ap...,"Automation,Business management,Application development,Project delivery,Resource management,Stakeholder management,Continuous improvement,Information technology",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", Department Overview Enterprise Platform Service team consists of Enterprise Quality Eng...,"Business services,RCA,Application engineering,Production support,Wholesale banking,Manager Technology,Investment management,Subject Matter Expert",PREMIUM
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a technical hands-on management position primarily responsible f...,"jQuery,Coding,Agile,Application development,WCF,MVC,SSIS,Information technology",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-8 Yrs,Not disclosed,"Bengaluru, Hyderabad", Job Responsibilities The prospect team member should Analyze highly complex business re...,"MS SQL,Data modeling,RDBMS,Analytical,Application development,Informatica,SSIS,microsoft",30+ Days Ago
Information Technology,Technology Lead (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,7-11 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is an Automation tester position for automation regression maintena...,"Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Senior Technology Specialist (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is an Automation tester position for automation regression maintena...,"Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,15-19 Yrs,Not disclosed,"Bengaluru, Hyderabad"," About the Role This is a technical hands-on front line management position, primarily r...","Business services,Simulation,Coding,Agile,Manager Technology,Application development,Project delivery,Stakeholder management",24 Days Ago
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,"Bengaluru, Hyderabad"," About the Role This is a technical hands-on front line management position, primarily r...","Business services,Manager Quality Assurance,Simulation,Coding,Agile,Application development,Unit testing,Project delivery",PREMIUM
