search_criteria,course_name,course_description,rating,no_of_reviews,duration,lectures,levels,badge,original_price,discounted_price
photography,The Complete Video Production Bootcamp,"Make better videos with the ultimate course on video production, planning, cinematography, editing & distribution.",4.4,6450.0,9.0,75.0,Beginner,,12800.0,481.0
photography,Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,"Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!",4.4,5982.0,10.0,96.0,All Levels,,12800.0,455.0
photography,Beginner Nikon Digital SLR (DSLR) Photography,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,4.5,4740.0,1.0,7.0,Beginner,,1920.0,455.0
photography,Affinity Photo: Solid Foundations,The best selling beginners guide to Affinity Photo - complete with a 50 page PDF to aid your study!,4.6,3743.0,12.0,86.0,Beginner,,6400.0,455.0
photography,Your Road to Better Photography,Photography Made Simple!,4.3,3735.0,,10.0,Beginner,,1280.0,455.0
photography,Complete Filmmaker Guide: Become an Incredible Video Creator,Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,4.3,3063.0,5.5,115.0,Beginner,,12800.0,468.0
photography,Cinematography Course: Shoot Better Video with Any Camera,Shoot better video by learning the video production techniques used by Hollywood filmmakers. And get paid to do it!,4.2,3064.0,3.0,80.0,All Levels,,12800.0,507.0
photography,Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,4.6,2906.0,16.5,111.0,All Levels,,12800.0,455.0
photography,Mastering Architecture and Real Estate Photography,"Start a business photographing real estate photography jobs for architects, builders, and real estate agents",4.4,2641.0,14.0,102.0,All Levels,,4800.0,455.0
photography,Food Photography: Capturing Food in Your Kitchen,"With DIY Food Photography, you'll be taking better photos in no time with what you have in your own kitchen!",4.4,2474.0,1.0,19.0,All Levels,,6400.0,494.0
photography,Digital Photography for Beginners with DSLR cameras,Learn how to take stunning photographs by mastering both the technical and creative sides of digital photography.,4.6,2461.0,2.5,56.0,Beginner,,6400.0,455.0
photography,Beginner Canon Digital SLR (DSLR) Photography,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,4.5,2436.0,1.0,8.0,Beginner,,1920.0,455.0
